Date,Price
2021-02-04,1327.00
2021-02-05,1333.00
2021-02-08,1317.00
2021-02-09,1306.00
2021-02-10,1303.00
2021-02-11,1313.00
2021-02-12,1339.00
2021-02-15,1364.00
2021-02-16,1495.00
2021-02-17,1756.00
2021-02-18,1770.00
2021-02-19,1698.00
2021-02-22,1709.00
2021-02-23,1727.00
2021-02-24,1709.00
2021-02-25,1700.00
2021-02-26,1675.00
2021-03-01,1651.00
2021-03-02,1673.00
2021-03-03,1763.00
2021-03-04,1779.00
2021-03-05,1829.00
2021-03-08,1853.00
2021-03-09,1901.00
2021-03-10,1980.00
2021-03-11,1970.00
2021-03-12,1960.00
2021-03-15,1983.00
2021-03-16,2017.00
2021-03-17,2105.00
2021-03-18,2215.00
2021-03-19,2281.00
2021-03-22,2319.00
2021-03-23,2271.00
2021-03-24,2194.00
2021-03-25,2172.00
2021-03-26,2178.00
2021-03-29,2162.00
2021-03-30,2103.00
2021-03-31,2046.00
2021-04-01,2072.00
2021-04-06,2092.00
2021-04-07,2127.00
2021-04-08,2088.00
2021-04-09,2085.00
2021-04-12,2145.00
2021-04-13,2140.00
2021-04-14,2178.00
2021-04-15,2323.00
2021-04-16,2385.00
2021-04-19,2432.00
2021-04-20,2472.00
2021-04-21,2710.00
2021-04-22,2750.00
2021-04-23,2788.00
2021-04-26,2808.00
2021-04-27,2889.00
2021-04-28,2957.00
2021-04-29,3007.00
2021-04-30,3053.00
2021-05-04,3157.00
2021-05-05,3266.00
2021-05-06,3212.00
2021-05-07,3183.00
2021-05-10,3240.00
2021-05-11,3254.00
2021-05-12,3139.00
2021-05-13,3077.00
2021-05-14,2939.00
2021-05-17,2856.00
2021-05-18,2795.00
2021-05-19,2801.00
2021-05-20,2824.00
2021-05-21,2869.00
2021-05-24,2881.00
2021-05-25,2809.00
2021-05-26,2754.00
2021-05-27,2688.00
2021-05-28,2596.00
2021-06-01,2568.00
2021-06-02,2530.00
2021-06-03,2472.00
2021-06-04,2438.00
2021-06-07,2428.00
2021-06-08,2420.00
2021-06-09,2481.00
2021-06-10,2669.00
2021-06-11,2857.00
2021-06-14,2944.00
2021-06-15,3025.00
2021-06-16,3176.00
2021-06-17,3267.00
2021-06-18,3218.00
2021-06-21,3190.00
2021-06-22,3119.00
2021-06-23,3147.00
2021-06-24,3175.00
2021-06-25,3255.00
2021-06-28,3324.00
2021-06-29,3418.00
2021-06-30,3383.00
2021-07-01,3338.00
2021-07-02,3285.00
2021-07-05,3224.00
2021-07-06,3179.00
2021-07-07,3241.00
2021-07-08,3281.00
2021-07-09,3300.00
2021-07-12,3300.00
2021-07-13,3228.00
2021-07-14,3139.00
2021-07-15,3073.00
2021-07-16,3039.00
2021-07-19,3059.00
2021-07-20,3053.00
2021-07-21,3058.00
2021-07-22,3103.00
2021-07-23,3199.00
2021-07-26,3210.00
2021-07-27,3166.00
2021-07-28,3154.00
2021-07-29,3214.00
2021-07-30,3292.00
2021-08-02,3282.00
2021-08-03,3281.00
2021-08-04,3318.00
2021-08-05,3376.00
2021-08-06,3371.00
2021-08-09,3371.00
2021-08-10,3375.00
2021-08-11,3410.00
2021-08-12,3503.00
2021-08-13,3566.00
2021-08-16,3606.00
2021-08-17,3657.00
2021-08-18,3833.00
2021-08-19,3976.00
2021-08-20,4092.00
2021-08-23,4147.00
2021-08-24,4201.00
2021-08-25,4193.00
2021-08-26,4195.00
2021-08-27,4235.00
2021-08-31,4132.00
2021-09-01,4013.00
2021-09-02,4001.00
2021-09-03,3944.00
2021-09-06,3822.00
2021-09-07,3707.00
2021-09-08,3618.00
2021-09-09,3643.00
2021-09-10,3864.00
2021-09-13,4163.00
2021-09-14,4221.00
2021-09-15,4233.00
2021-09-16,4215.00
2021-09-17,4275.00
2021-09-20,4304.00
2021-09-21,4410.00
2021-09-22,4560.00
2021-09-23,4651.00
2021-09-24,4644.00
2021-09-27,4717.00
2021-09-28,4962.00
2021-09-29,5197.00
2021-09-30,5167.00
2021-10-01,5202.00
2021-10-04,5267.00
2021-10-05,5409.00
2021-10-06,5647.00
2021-10-07,5650.00
2021-10-08,5526.00
2021-10-11,5488.00
2021-10-12,5378.00
2021-10-13,5206.00
2021-10-14,5062.00
2021-10-15,4854.00
2021-10-18,4732.00
2021-10-19,4714.00
2021-10-20,4751.00
2021-10-21,4653.00
2021-10-22,4410.00
2021-10-25,4257.00
2021-10-26,4056.00
2021-10-27,3808.00
2021-10-28,3630.00
2021-10-29,3519.00
2021-11-01,3428.00
2021-11-02,3187.00
2021-11-03,2892.00
2021-11-04,2769.00
2021-11-05,2715.00
2021-11-08,2718.00
2021-11-09,2805.00
2021-11-10,2861.00
2021-11-11,2844.00
2021-11-12,2807.00
2021-11-15,2759.00
2021-11-16,2591.00
2021-11-17,2430.00
2021-11-18,2454.00
2021-11-19,2552.00
2021-11-22,2645.00
2021-11-23,2715.00
2021-11-24,2654.00
2021-11-25,2678.00
2021-11-26,2767.00
2021-11-29,2881.00
2021-11-30,3018.00
2021-12-01,3047.00
2021-12-02,3115.00
2021-12-03,3171.00
2021-12-06,3235.00
2021-12-07,3352.00
2021-12-08,3423.00
2021-12-09,3343.00
2021-12-10,3272.00
2021-12-13,3216.00
2021-12-14,2932.00
2021-12-15,2665.00
2021-12-16,2498.00
2021-12-17,2379.00
2021-12-20,2371.00
2021-12-21,2294.00
2021-12-22,2229.00
2021-12-23,2219.00
2021-12-24,2217.00
2022-01-04,2285.00
2022-01-05,2289.00
2022-01-06,2296.00
2022-01-07,2289.00
2022-01-10,2277.00
2022-01-11,2151.00
2022-01-12,2027.00
2022-01-13,1873.00
2022-01-14,1764.00
2022-01-17,1731.00
2022-01-18,1644.00
2022-01-19,1570.00
2022-01-20,1474.00
2022-01-21,1415.00
2022-01-24,1391.00
2022-01-25,1343.00
2022-01-26,1296.00
2022-01-27,1302.00
2022-01-28,1381.00
2022-01-31,1418.00
2022-02-01,1440.00
2022-02-02,1419.00
2022-02-03,1425.00
2022-02-04,1423.00
2022-02-07,1422.00
2022-02-08,1503.00
2022-02-09,1711.00
2022-02-10,1940.00
2022-02-11,1977.00
2022-02-14,1984.00
2022-02-15,1968.00
2022-02-16,1896.00
2022-02-17,1886.00
2022-02-18,1964.00
2022-02-21,2045.00
2022-02-22,2148.00
2022-02-23,2244.00
2022-02-24,2187.00
2022-02-25,2076.00
2022-02-28,2040.00
2022-03-01,2069.00
2022-03-02,2137.00
2022-03-03,2104.00
2022-03-04,2148.00
2022-03-07,2235.00
2022-03-08,2352.00
2022-03-09,2558.00
2022-03-10,2704.00
2022-03-11,2718.00
2022-03-14,2727.00
2022-03-15,2689.00
2022-03-16,2591.00
2022-03-17,2588.00
2022-03-18,2605.00
2022-03-21,2589.00
2022-03-22,2546.00
2022-03-23,2575.00
2022-03-24,2567.00
2022-03-25,2544.00
2022-03-28,2484.00
2022-03-29,2417.00
2022-03-30,2369.00
2022-03-31,2358.00
2022-04-01,2357.00
2022-04-04,2307.00
2022-04-05,2213.00
2022-04-06,2128.00
2022-04-07,2061.00
2022-04-08,2055.00
2022-04-11,2031.00
2022-04-12,2035.00
2022-04-13,2068.00
2022-04-14,2137.00
2022-04-19,2115.00
2022-04-20,2142.00
2022-04-21,2239.00
2022-04-22,2307.00
2022-04-25,2356.00
2022-04-26,2404.00
2022-04-27,2425.00
2022-04-28,2403.00
2022-04-29,2404.00
2022-05-03,2412.00
2022-05-04,2485.00
2022-05-05,2644.00
2022-05-06,2718.00
2022-05-09,2831.00
2022-05-10,2939.00
2022-05-11,3052.00
2022-05-12,3117.00
2022-05-13,3104.00
2022-05-16,3085.00
2022-05-17,3095.00
2022-05-18,3189.00
2022-05-19,3289.00
2022-05-20,3344.00
2022-05-23,3369.00
2022-05-24,3253.00
2022-05-25,3127.00
2022-05-26,2933.00
2022-05-27,2681.00
2022-05-30,2571.00
2022-05-31,2566.00
2022-06-01,2633.00
2022-06-06,2560.00
